Data Size,Array Accesses
1239,831,1238
1034,689,1033
3095,2027,3094
4712,3089,4711
5148,3400,5147
7115,4604,7114
3793,2497,3792
1563,1043,1562
8863,5700,8862
7588,4897,7587
2651,1748,2650
9633,6226,9632
8775,5650,8774
3425,2241,3424
2504,1642,2503
4490,2945,4489
5760,3740,5759
4889,3188,4888
1752,1156,1751
8223,5344,8222
8897,5787,8896
5117,3369,5116
7683,4962,7682
2458,1616,2457
1192,796,1191
1196,790,1195
8341,5392,8340
5391,3514,5390
3799,2498,3798
4298,2817,4297
5395,3538,5394
8388,5398,8387
5793,3770,5792
8881,5745,8880
9483,6112,9482
2568,1697,2567
6598,4288,6597
7324,4741,7323
9280,6008,9279
8081,5225,8080
8248,5363,8247
2058,1359,2057
2112,1378,2111
3420,2243,3419
7536,4904,7535
7939,5124,7938
1790,1187,1789
8910,5761,8909
3364,2205,3363
2634,1729,2633
6284,4093,6283
7026,4542,7025
1264,851,1263
2229,1474,2228
9977,6465,9976
7191,4650,7190
8542,5532,8541
6391,4166,6390
2393,1586,2392
1153,763,1152
2018,1337,2017
1224,810,1223
9859,6361,9858
6577,4268,6576
9067,5849,9066
9828,6343,9827
7915,5115,7914
8936,5735,8935
8009,5144,8008
5497,3625,5496
3923,2603,3922
2657,1733,2656
6372,4161,6371
9924,6380,9923
2878,1890,2877
9601,6195,9600
2680,1782,2679
1683,1114,1682
7876,5115,7875
9933,6391,9932
1739,1136,1738
9976,6465,9975
4058,2658,4057
6924,4468,6923
8043,5205,8042
1011,672,1010
2428,1608,2427
4950,3209,4949
4117,2679,4116
3732,2441,3731
3347,2205,3346
6346,4112,6345
5617,3658,5616
2726,1786,2725
2135,1408,2134
2643,1750,2642
2018,1340,2017
3022,1996,3021
2211,1443,2210
1317,880,1316
1476,992,1475
2833,1875,2832
4044,2645,4043
4546,2991,4545
8819,5701,8818
6567,4294,6566
4001,2612,4000
5624,3680,5623
2152,1423,2151
8016,5194,8015
6453,4214,6452
5407,3543,5406
6695,4365,6694
6979,4552,6978
9389,6041,9388
1880,1260,1879
5244,3455,5243
3275,2151,3274
9119,5868,9118
8460,5471,8459
8678,5618,8677
4291,2802,4290
4402,2891,4401
5236,3418,5235
5717,3731,5716
6255,4069,6254
9639,6196,9638
6716,4359,6715
1618,1080,1617
6054,3939,6053
8417,5411,8416
5747,3766,5746
1504,992,1503
3235,2138,3234
9077,5866,9076
1951,1274,1950
8924,5755,8923
2383,1589,2382
2481,1652,2480
4427,2899,4426
4041,2664,4040
5675,3684,5674
9798,6311,9797
2178,1455,2177
4545,2929,4544
5334,3492,5333
